Rank; Name;Age ; Position;Team;Point Per Game (PPG); Rebound Per Game (RPG);Assist per game(APG)
1;Lebron James;31;Small Forward;Cleveland Cavaliers;25.3;7.4;6.8
2;Stephen Curry;28;Point Guard;Golden State Warriors;30.1;5.4;6.7
3;Kevin Durant;28; Small Forward;Golden State Warriors;28.2;8.2;5
4;Kawhi Leonard;25;Small Forward; San Antonio Spurs;21.2;6.8;2.6
5;Russel WestBrook;27;Point Guard;Oklahoma City Thunder;23.5;7.8;10.4
6; Chris Paul;31;Point Guard;Los Angeles Clippers;19.5;4.2;10
7;Karl-Anthony Towns;20;Center;Minnesota Timberwolves;18.3;10.5;1.7
8;Anthony Davis;23;Power Forward;New Orleans Pelicans;24.3;10.3;2
9;Klay Thompson;26;Shooting Guard;Golden State Warriors;22.1;3.8;2.1
10;Paul George;26;Small Forward;Indiana Pacers;23.1;7;4.1
11;Jimmy Butler;27;Shooting Guard;Chicago Bulls;20.9;5.3;4.8
12;DeMarcus Cousins;26;Center;Sacramento Kings;26.9;11.5;1.4
13;James Harden;27;Shooting Guard;Houston Rocks;29;6.1;7.5
14;Kyle Lowry;30;Point Guard;Toronto Raptors;21.2;4.7;6.4
15;LaMarcus Alridge;31;Power Forward;San Antonio Spurs;18;8.5;1.1
16;Draymond Green;26;Power Forward;Golden State Warriors;14;9.5;7.4
17;Paul Millsap;31;Power Forward;Atlanta Hawks;17.1;9;1.7
18;Carmelo Anthony;32;Small Forward;New York Knicks;21.8;7.7;4.2
19;Kyrie Irving;24;Point Guard;Cleveland Cavaliers;19.6;3;4.7
20;Damian Lillard;26;Point Guard;Portland Trail Blazers;25.1;4;6.8
