Name;Age;Team;Position;Games Played;Game Started;Field Goals Made; Field Goals Attempted;Field Goals Made Percentage;3 Point Made;3 Point Attempted;3 Point Made Percentage;Free Throws Made;Free Throws Attempted;Free Throws Made Percentage;Total Rebounds;Rebounds Average;Total Points;Points Average;Total Assists;Assists Average;Total Blocks;Blocks Average;Steals;Steals Average
Kevin Durant;33;Brooklyn Nets;F;6;6;45;85;0.52;15;40;0.37;19;21;0.90;32;5.3;124;20.7;22;3.67;7;1.17;6;1.00
Jayson Tatum;24;Boston Celtics;F;6;0;33;67;0.49;17;38;0.44;8;11;0.72;20;3.3;91;15.2;7;1.17;7;1.17;3;0.50
Jrue Holiday;31;Milwaukee Bucks;G;6;5;28;58;0.48;7;20;0.35;8;12;0.66;29;4.8;71;11.8;23;3.83;5;0.83;10;1.67
Damian Lillard;31;Portland Trail Blazers;G;6;6;23;60;0.38;16;46;0.34;5;9;0.55;16;2.7;67;11.2;19;3.17;0;0.00;3;0.50
Zach LaVine;27;Chicago Bulls;G;6;1;21;35;0.60;10;22;0.45;6;7;0.85;12;2.0;58;9.7;20;3.33;0;0.00;5;0.83
Devin Booker;25;Phoenix Suns;G;6;5;19;45;0.42;5;15;0.33;13;14;0.92;19;3.4;56;9.3;11;1.83;2;0.33;9;1.50
Bam Adebayo;24;Miami Heat;F/C;6;6;16;28;0.57;0;0;0.00;6;10;0.60;34;5.7;38;6.3;11;1.83;7;1.17;8;1.33
JaVale McGee;34;Denver Nuggets;C;4;0;10;13;0.76;0;1;0.00;5;6;0.83;5;1.3;25;6.3;0;0.00;2;0.5;2;0.50
Khris Middleton;30;Milwaukee Bucks;F;6;0;14;31;0.45;6;17;0.35;1;2;0.50;11;1.8;35;5.8;10;1.67;5;0.83;5;0.83
Draymond Green;32;Golden State Warriors;F;6;1;7;9;0.77;3;3;1.00;4;4;1.00;18;3.0;21;3.5;17;2.83;7;1.17;7;1.17
Jerami Grant;28;Detroit Pistons;F;4;0;1;3;0.33;3;2;0.5;1;2;0.5;5;1.3;4;1.0;3;0.75;1;0.25;1;0.25
Keldon Johnson;22;San Antonio Spurs;G;4;0;1;3;0.33;1;2;1.00;2;2;1.00;3;0.8;4;1.0;3;0.75;0;0.00;0;0.00
