Rank;Name;Age;Team;Position;Games Played;Game Started;Field Goals Made Per Game; Field Goals Attempted Per Game;Field Goals Made Percentage;3 Point Made Per Game;3 Point Attempted Per Game;3 Point Made Percentage ;Free Throws Made Per Game;Free Throws Attempted Per Game;Free Throws Made Percentage;Rebounds Per Game;Points Per game;Assists per game;Blocks per Game;Steals Per Game
1;Lebron James;;;;55;;11.4;21.8;52.3;2.9;8.0;35.9;4.5;5.9;75.6;8.2;30.1;6.3;1.1;1.3
2;Giannis Antetokounmpo;;;;62;;10.3;18.6;55.2;1.1;3.6;30.1;8.3;11.5;72.2;11.6;29.9;5.8;1.5;1.0
3;Joel Embiid;;;;62;;9.5;19.4;48.9;1.4;3.7;36.4;9.5;11.7;81.6;11.4;29.9;4.3;1.4;1.2
4;Trae Younng;;;;70;;9.3;20.3;45.9;3.0;8.0;38.1;6.5;7.2;90.3;3.8;28.1;9.6;0.1;1.0
5;Luka Doncic;;;;60;;9.9;21.7;45.7;3.1;8.7;35.1;5.3;7.2;73.7;9.2;28.1;8.6;0.6;1.2
6;DeMar DeRozan;;;;71;;10.2;20.2;50.3;0.6;1.9;34.8;6.7;7.7;87.2;5.4;27.6;5.0;0.3;0.9
7;Ja Morant;;;;56;;10.2;20.8;49.3;1.5;4.5;34.0;5.6;7.3;76.2;5.7;27.6;6.7;0.4;1.2
8;Jayson Tatum;;;;72;;9.3;20.7;45.1;3.0;8.6;35.3;5.3;6.2;86.0;8.0;27.0;4.3;0.6;1.0
9;Nikola Jokic;;;;70;;10.0;17.3;58.0;1.4;3.9;34.5;5.1;6.2;81.2;13.6;26.5;8.0;0.9;1.4
10;Devin Booke;;;;65;;9.5;20.7;46.1;2.6;7.0;37.6;4.7;5.4;86.6;5.0;26.4;4.9;0.4;1.2
11;Donovan Mitchell;;;;63;;9.3;20.5;45.3;3.5;9.9;35.7;3.9;4.6;85.2;4.2;26.0;5.4;0.2;1.5
12;Stephen Curry;;;;64;;8.4;19.1;43.7;4.5;11.7;38.0;4.3;4.7;92.3;5.2;25.5;6.3;0.4;1.3
13;Zach LaVine;;;;63;;8.5;17.8;47.9;2.8;7.1;39.5;5.9;5.6;85.1;4.7;24.6;4.5;0.3;0.6
14;Shai Gilgeous-Alexander;;;;56;;8.5;18.8;45.3;1.6;4.2;30.0;5.3;7.2;81.0;5.0;24.5;5.9;0.8;1.3
15;Karl-Anthony Towns;;;;70;;8.6;16.3;52.9;2.0;6.9;40.8;3.7;6.4;82.5;9.8;24.4;3.7;1.1;1.0
16;Jaylen Brown;;;;61;;8.6;18.4;46.8;2.5;7.7;35.4;4.4;4.8;75.9;6.1;23.4;3.3;0.3;1.0
17;De'Aaron Fox;;;;59;;8.7;18.5;47.3;1.3;3.2;29.7;7.4;5.9;75.0;3.9;23.2;5.6;0.4;1.2
18;James Harden;;;;59;;6.5;15.5;41.6;2.3;6.8;33.7;1.9;8.5;87.4;7.8;22.6;10.1;0.6;1.3
19;CJ McCollum;;;;56;;8.8;19.0;46.2;3.0;2.0;38.6;4.1;2.7;70.2;4.4;22.4;5.2;0.4;1.0
20;Pascal Siakam;;;;63;;8.6;17.4;49.3;1.1;4.3;36.2;3.2;5.5;74.5;8.3;21.6;5.2;0.6;1.2
