Rank;TEAM;Points Per Game;Average Field Goals Made;Average Field Goals Attempted;Field Goals Made Percentage;Average 3-Point Field Goals Made;Average 3-Point Field Goals Attempted;3-Point Field Goal Percentage;Average Free Throws Made;Average Free Throws Attempted;Free Throw Percentage;Rebounds Per Game;Assists Per Game;Steals Per Game;Blocks Per Game;Turnovers Per Game
1;Milwaukee Bucks;120.1;44.7;91.8;48.7;14.4;37.1;38.9;16.2;21.4;76.0;48.1;25.5;8.1;4.6;13.4
2;Brooklyn Nets;118.6;43.1;87.3;49.4;14.2;36.1;39.2;18.1;22.5;80.4;44.4;26.8;6.7;5.3;13.1
3;Washington Wizards;116.6;43.2;90.9;47.5;10.2;29.0;35.1;20.1;26.2;76.9;45.2;25.5;7.3;4.1;13.9
4;Utah Jazz;116.4;41.3;88.1;46.8;16.7;43.0;38.9;17.2;21.5;79.9;48.3;23.7;6.6;5.2;13.5
5;Portland Trail Blazers;116.1;41.3;91.1;45.3;15.7;40.8;38.5;17.8;21.6;82.3;44.5;21.3;6.9;5.0;10.8
6;Indiana Pacers;115.3;43.3;91.2;47.4;12.3;34.0;36.4;16.4;20.7;79.2;42.7;27.4;8.5;6.4;13.0
7;Phoenix Suns;115.3;43.3;88.3;49.0;13.1;34.6;37.8;15.6;18.7;83.4;42.9;26.9;7.2;4.3;12.0
8;Denver Nuggets;115.1;43.3;89.2;48.5;12.9;34.2;37.7;15.7;19.5;80.3;44.4;26.8;8.1;4.5;12.8
9;New Orleans Pelicans;114.6;42.5;89.1;47.7;10.6;30.4;34.8;19.0;26.1;72.9;47.4;26.0;7.6;4.4;13.9
10;LA Clippers;114.0;41.8;86.7;48.2;14.3;34.7;41.1;16.2;19.3;83.9;44.2;24.4;7.1;4.1;12.4
11;Sacramento Kings;113.7;42.6;88.6;48.1;12.1;33.3;36.4;16.4;22.0;74.5;41.4;25.5;7.5;5.0;12.8
12;Golden State Warriors;113.7;41.3;88.2;46.8;14.6;38.7;37.6;16.6;21.1;78.5;43.0;27.7;8.2;4.8;14.6
13;Atlanta Hawks;113.7;40.8;87.2;46.8;12.4;33.4;37.3;19.7;24.2;81.2;45.6;24.1;7.0;4.8;12.7
14;Philadelphia 76ers;113.6;41.4;86.9;47.6;11.3;30.1;37.4;19.6;25.5;76.7;45.1;23.7;9.1;6.2;13.7
15;Memphis Grizzlies;113.3;42.8;91.8;46.7;11.2;31.4;35.6;16.4;21.3;77.1;46.5;26.9;9.1;5.1;12.7
16;Boston Celtics;112.6;41.5;88.9;46.6;13.6;36.4;37.4;16.1;20.8;77.5;44.3;23.5;7.7;5.3;13.4
17;Dallas Mavericks;112.4;41.1;87.3;47.0;13.8;38.1;36.2;16.5;21.2;77.8;43.3;22.9;6.3;4.3;11.4
18;Minnesota Timberwolves;112.1;40.7;90.9;44.8;13.1;37.6;34.9;17.6;23.1;76.1;43.5;25.6;8.8;5.5;13.7
19;Toronto Raptors;111.3;39.7;88.7;44.8;14.5;39.3;36.8;17.4;21.3;81.5;41.6;24.1;8.6;5.4;12.5
20;San Antonio Spurs;111.1;41.9;90.5;46.2;9.9;28.4;35.0;17.4;22.0;79.2;43.9;24.4;7.0;5.1;11.0
21;Chicago Bulls;110.7;42.2;88.6;47.6;12.6;34.0;37.0;13.8;17.5;79.1;45.0;26.8;6.7;4.2;14.5
22;Los Angeles Lakers;109.5;40.6;86.1;47.2;11.1;31.2;35.4;17.2;23.3;73.9;44.2;24.7;7.8;5.4;14.7
23;Charlotte Hornets;109.5;39.9;87.8;45.5;13.7;37.0;36.9;15.9;20.9;76.1;43.8;26.8;7.8;4.8;14.2
24;Houston Rockets;108.8;39.3;88.5;44.3;13.8;40.6;33.9;16.5;22.3;74.0;42.6;23.6;7.6;5.0;14.2
25;Miami Heat;108.1;39.2;83.7;46.8;12.9;36.2;35.8;16.7;21.1;79.0;41.5;26.3;7.9;4.0;13.3
26;New York Knicks;107.0;39.4;86.5;45.6;11.8;30.0;39.2;16.4;20.9;78.4;45.1;21.4;7.0;5.1;12.2
27;Detroit Pistons;106.6;38.7;85.6;45.2;11.6;32.9;35.1;17.8;23.4;75.9;42.7;24.2;7.4;5.2;14.2
28;Oklahoma City Thunder;105.0;38.8;88.0;44.1;11.9;35.1;33.9;15.5;21.3;72.5;45.6;22.1;7.0;4.4;15.4
29;Orlando Magic;104.0;38.3;89.2;42.9;10.9;31.8;34.3;16.6;21.4;77.5;45.4;21.8;6.9;4.4;12.3
30;Cleveland Cavaliers;103.8;38.6;85.8;45.0;10.0;29.7;33.6;16.7;22.4;74.3;42.8;23.8;7.8;4.5;14.4
